frame_id,timestamp,run_mode,profile,selected_mode,rtt_ms,packet_loss,edge_load,edge_available,deadline_ms,latency_ms,deadline_met,confidence,stale_output,fallback_used,bandwidth_kb,risk_score,decision_reason,source,detections
0,0.0,edge_only,variable,edge_accurate,39.0801668844748,0.083132895926613,0.5094056471639121,True,100.0,129.03580565562598,False,0.8587925317946281,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
1,33.333333333333336,edge_only,variable,edge_accurate,28.683231997078018,0.07223720705542751,0.5043620918076939,True,100.0,85.79691719459808,True,0.9164503404106672,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
2,66.66666666666667,edge_only,variable,edge_accurate,26.12130115843202,0.0853894645600995,0.5112675928004446,True,100.0,133.0622700129938,False,0.893911535306568,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
3,100.0,edge_only,variable,edge_accurate,45.12094348406676,0.07818141348941081,0.5004211496115234,True,100.0,153.89831942824833,False,0.8852528803504613,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
4,133.33333333333334,edge_only,variable,edge_accurate,36.51639313014224,0.08537288027287727,0.49983766057935625,True,100.0,137.1919202379608,False,0.8059561778333687,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
5,166.66666666666669,edge_only,variable,edge_accurate,33.411714974858185,0.09139447342679553,0.498324833642797,True,100.0,91.46160769473515,True,0.8151340832654834,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
6,200.00000000000003,edge_only,variable,edge_accurate,34.690798202274316,0.07931541074718361,0.5023143075578784,True,100.0,140.00160404408342,False,0.9020583886396143,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
7,233.33333333333337,edge_only,variable,edge_accurate,43.80717927317479,0.10747883301523309,0.49778729588245657,True,100.0,103.10415491071751,False,0.8854348415843539,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
8,266.6666666666667,edge_only,variable,edge_accurate,37.12041184461964,0.08077963989507118,0.5095195596331742,True,100.0,136.82186261121956,False,0.8782401681098725,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
9,300.0,edge_only,variable,edge_accurate,32.162645283127205,0.05557157872540332,0.5141215755847863,True,100.0,123.79824060766668,False,0.8636558027983657,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
10,333.3333333333333,edge_only,variable,edge_accurate,43.216971515393595,0.05835358012244786,0.5136188736984963,True,100.0,121.13948927120796,False,0.9492998348887031,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
11,366.66666666666663,edge_only,variable,edge_accurate,47.54811032643015,0.08525000361409334,0.5131310544465439,True,100.0,133.86998366201192,False,0.9384540456880477,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
12,399.99999999999994,edge_only,variable,edge_accurate,48.993257458134465,0.07505958947707472,0.5168177258156206,True,100.0,155.69831653260638,False,0.8434257789394426,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
13,433.33333333333326,edge_only,variable,edge_accurate,45.93873244894246,0.061768478549876084,0.5070654021700631,True,100.0,109.33430205047279,False,0.9383641404873015,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
14,466.6666666666666,edge_only,variable,edge_accurate,62.85399648222088,0.05484795547536825,0.5153351052819654,True,100.0,166.55215972447382,False,0.8909339843433977,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
15,499.9999999999999,edge_only,variable,edge_accurate,55.481504722703974,0.07284817863933761,0.5181303075391651,True,100.0,117.10942341065206,False,0.8903403573762313,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
16,533.3333333333333,edge_only,variable,edge_accurate,62.167199275491996,0.06389731123565234,0.5098807281046864,True,100.0,134.68339833270997,False,0.8192797809754705,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
17,566.6666666666666,edge_only,variable,edge_accurate,56.50834408158744,0.04767548934158637,0.4965717103437144,True,100.0,122.21997595413139,False,0.8811882806884435,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
18,600.0,edge_only,variable,edge_accurate,59.776028669675725,0.0724924503812349,0.5041622218156492,True,100.0,170.7553473408999,False,0.8327085416372382,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
19,633.3333333333334,edge_only,variable,edge_accurate,58.50788682507851,0.0809478318944284,0.5002363120553169,True,100.0,169.06242618648128,False,0.9138984423765847,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,6
20,666.6666666666667,edge_only,variable,edge_accurate,49.005298396355116,0.06364655768511125,0.49637167070427024,True,100.0,142.41612750100202,False,0.913601238463665,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
21,700.0000000000001,edge_only,variable,edge_accurate,54.41691992569719,0.061785459046452336,0.4972222777506931,True,100.0,125.56980043966472,False,0.8666786124105915,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
22,733.3333333333335,edge_only,variable,edge_accurate,57.780421296302436,0.08164423940702377,0.4967929673554603,True,100.0,151.98811126092943,False,0.900490239136208,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
23,766.6666666666669,edge_only,variable,edge_accurate,54.60925369289451,0.04047164740573448,0.4829632491601374,True,100.0,151.9966840661384,False,0.8156080937772692,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
24,800.0000000000002,edge_only,variable,edge_accurate,42.755385895210594,0.07699604896766014,0.4773158087745093,True,100.0,100.54248324303197,False,0.8462746476405133,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
25,833.3333333333336,edge_only,variable,edge_accurate,58.5706672534011,0.06376538050642505,0.48922780270427835,True,100.0,147.91841153026377,False,0.8654531903312523,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
26,866.666666666667,edge_only,variable,edge_accurate,53.84237271977065,0.053374614039064835,0.4879919114044171,True,100.0,134.27978342990832,False,0.8490041239323975,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
27,900.0000000000003,edge_only,variable,edge_accurate,34.55279646031979,0.07760241376205251,0.4927708851468565,True,100.0,102.83984761616543,False,0.8092069296024846,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
28,933.3333333333337,edge_only,variable,edge_accurate,24.00335005114508,0.07126226638499272,0.4889217810268472,True,100.0,88.1340752749285,True,0.9419527111482298,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
29,966.6666666666671,edge_only,variable,edge_accurate,32.03179256379771,0.09803113059811602,0.48874386854674756,True,100.0,123.0219030883004,False,0.9187717448427591,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
30,1000.0000000000005,edge_only,variable,edge_accurate,39.30464896169971,0.0738499419695059,0.5045869705898025,True,100.0,125.63291149540404,False,0.9211316644681494,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
31,1033.3333333333337,edge_only,variable,edge_accurate,46.26040039425965,0.09560780059634234,0.4917819459286135,True,100.0,154.6381234999056,False,0.8318810073469685,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
32,1066.666666666667,edge_only,variable,edge_accurate,37.65323289122374,0.06317832844477407,0.47965869526732774,True,100.0,29.940077172530245,True,0.7139498698602169,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,0
33,1100.0000000000002,edge_only,variable,edge_accurate,39.02392470431949,0.044260889846203494,0.4735711654017868,True,100.0,107.35859579051828,False,0.8947834466928335,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
34,1133.3333333333335,edge_only,variable,edge_accurate,51.11707625591465,0.10494279060460628,0.5079955569815028,True,100.0,137.117272219084,False,0.9368122352716975,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
35,1166.6666666666667,edge_only,variable,edge_accurate,40.391803118805676,0.03268919008720209,0.5090735602086407,True,100.0,104.3362493346611,False,0.9444238237559784,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
36,1200.0,edge_only,variable,edge_accurate,38.91301095127727,0.059288306016453365,0.5058509393027487,True,100.0,131.77903556398206,False,0.8164662980101955,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
37,1233.3333333333333,edge_only,variable,edge_accurate,43.888117624070205,0.06722389035182297,0.4943242139139409,True,100.0,145.7053672196149,False,0.8081724835819357,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
