candidate_id,weight_rtt,weight_loss,weight_load,weight_frame_age,weight_deadline,risk_local_threshold,risk_degraded_threshold,local_confidence_threshold,remote_deadline_margin,hybrid_freshness_window_ms,hybrid_estimator,last_valid_freshness_ms,worst_deadline_miss_rate,worst_deadline_miss_rate_se,mean_stale_acceptance_rate,mean_stale_acceptance_rate_se,mean_usable_confidence_proxy,mean_usable_confidence_proxy_se,worst_p95_latency_ms,worst_p95_latency_ms_se,mean_bandwidth_per_1000_frames_kb,mean_bandwidth_per_1000_frames_kb_se,is_published_reference,is_uniform_reference,selected
0,0.35,0.3,0.15,0.05,0.15,0.4,0.7,0.725,0.6,80.0,optimistic,250.0,0.0,0.0,0.0,0.0,0.7271776659338349,0.0004210462216499769,34.197998500391556,0.029252478730112306,2551.0,20.893911925619758,True,False,False
1,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.725,0.6,80.0,optimistic,250.0,0.0,0.0,0.0,0.0,0.727118234879751,0.0003038020328271953,34.197998500391556,0.029252478730112306,2551.0,20.893911925619758,False,True,False
2,0.030000000000000002,0.10000000000000002,0.7300000000000001,0.060000000000000005,0.08000000000000002,0.5,0.65,0.725,0.8,70.0,optimistic,150.0,0.0,0.0,0.0,0.0,0.7253181085075314,0.00024268859748022192,34.19592502706647,0.02955310259238055,53.0,12.297244497131143,False,False,False
3,0.27,0.02,0.51,0.18,0.02,0.45,0.6,0.725,0.5,100.0,optimistic,250.0,0.0,0.0,0.0,0.0,0.7380895591467281,0.0005915827551740616,34.179027103182285,0.027601569191247004,5520.0,57.638721552635275,False,False,False
4,0.38,0.04,0.02,0.1,0.46,0.4,0.7,0.725,0.6,80.0,expected,200.0,0.0,0.0,0.0,0.0,0.725016898108916,0.000537736422564093,34.11281963494808,0.040196756451920154,0.0,0.0,False,False,False
5,0.12,0.11,0.12,0.06,0.59,0.3,0.65,0.78,0.8,90.0,expected,300.0,0.0,0.0,0.0,0.0,0.7266591677797769,0.0004594678405999872,33.961030266801416,0.04087587619887483,0.0,0.0,False,False,False
6,0.29,0.19,0.38,0.12,0.02,0.45,0.7,0.725,0.8,100.0,optimistic,250.0,0.0,0.0,0.0,0.0,0.7379372279236216,0.0004527419378980315,34.197998500391556,0.029252478730112306,5520.0,57.638721552635275,False,False,False
7,0.29292929292929293,0.25252525252525254,0.25252525252525254,0.20202020202020204,0.0,0.55,0.6,0.74,0.7,70.0,expected,100.0,0.0,0.0,0.0,0.0,0.7252212209326393,0.0003217218556247389,34.202980333964696,0.02789335769932939,0.0,0.0,False,False,False
8,0.297029702970297,0.019801980198019802,0.25742574257425743,0.297029702970297,0.12871287128712872,0.5,0.6,0.76,0.7,80.0,optimistic,200.0,0.0,0.0,0.0,0.0,0.7279512051122841,0.0003211436038458487,34.197998500391556,0.029252478730112306,3767.0,22.11334438749598,False,False,False
9,0.0202020202020202,0.3838383838383838,0.21212121212121213,0.3434343434343434,0.0404040404040404,0.3,0.75,0.725,0.9,70.0,expected,300.0,0.0004,0.0002666666666666667,0.0,0.0,0.7249216651595758,0.00023634542687132724,34.197998500391556,0.029252478730112306,3.0,1.5275252316519465,False,False,False
