candidate_id,baseline,deadline_greedy_margin,worst_deadline_miss_rate,mean_stale_acceptance_rate,mean_usable_confidence_proxy,worst_p95_latency_ms,mean_bandwidth_per_1000_frames_kb,confidence_deadline_threshold,confidence_deadline_margin,rtt_threshold_ms,selected
0,deadline_greedy,0.3,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,,,,True
1,deadline_greedy,0.4,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,,,,False
2,deadline_greedy,0.5,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,,,,False
3,deadline_greedy,0.6,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,,,,False
4,deadline_greedy,0.7,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,,,,False
5,deadline_greedy,0.8,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,,,,False
6,deadline_greedy,0.9,0.0004,0.0,0.7251386514015643,34.26606859596309,4.0,,,,False
7,deadline_greedy,1.0,0.2894,0.0,0.6925706616603879,131.49729107189208,3077.0,,,,False
8,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.68,0.3,,True
9,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.68,0.5,,False
10,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.68,0.7,,False
11,confidence_deadline,,0.0,0.0,0.7251949935233969,34.26606859596309,1.0,0.68,0.9,,False
12,confidence_deadline,,0.06380000000000001,0.0,0.71923045630674,116.6596031677891,628.0,0.68,1.0,,False
13,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.7,0.3,,False
14,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.7,0.5,,False
15,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.7,0.7,,False
16,confidence_deadline,,0.0,0.0,0.7251949935233969,34.26606859596309,1.0,0.7,0.9,,False
17,confidence_deadline,,0.1014,0.0,0.7159165358893756,125.0583721547537,1074.0,0.7,1.0,,False
18,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.72,0.3,,False
19,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.72,0.5,,False
20,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.72,0.7,,False
21,confidence_deadline,,0.0002,0.0,0.7251663676273368,34.26606859596309,2.0,0.72,0.9,,False
22,confidence_deadline,,0.13740000000000002,0.0,0.7120744529628352,127.21113320188435,1466.0,0.72,1.0,,False
23,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.725,0.3,,False
24,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.725,0.5,,False
25,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.725,0.7,,False
26,confidence_deadline,,0.0004,0.0,0.7251375360364937,34.26606859596309,3.0,0.725,0.9,,False
27,confidence_deadline,,0.14620000000000002,0.0,0.7110511486116092,127.62309412973336,1555.0,0.725,1.0,,False
28,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.74,0.3,,False
29,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.74,0.5,,False
30,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.74,0.7,,False
31,confidence_deadline,,0.0004,0.0,0.7251375360364937,34.26606859596309,3.0,0.74,0.9,,False
32,confidence_deadline,,0.1754,0.0,0.7076934476574641,129.20891164120567,1863.0,0.74,1.0,,False
33,confidence_deadline,,0.0,0.0,0.7251836840639674,34.26606859596309,0.0,0.76,0.3,,False
