policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000
local_only,stable,100,100.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,stable,100,100.0,1000,106.73843083952504,133.15476439951445,134.65661206008934,134.87078683707244,106.73843083952504,0.512,0.7975273110848559,0.42632796099977804,25000.0,25.0,25000.0,0.512,0.0,0.0,1.0,0.989,0.488,0.488,0.501,0.0,0.011,0.0,0.0,100.0,0.0,0.0,0,0.0
cloud_only,stable,100,100.0,1000,125.27940332331771,133.96035223762112,134.73962355895296,134.98877510568715,125.27940332331771,1.0,0.7265268897628933,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.993,0.0,0.0,0.993,0.0,0.007,0.0,0.0,100.0,0.0,0.0,0,0.0
dapper,stable,100,100.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,51.53514833678389,0.0,0.7265268897628933,0.792417917211626,21350.0,21.35,21350.0,0.0,0.0,0.0,0.854,0.9918032786885246,0.4953161592505855,0.423,0.4964871194379391,0.0,0.00819672131147541,0.0,14.6,0.0,85.39999999999999,0.0,259,259.0
deadline_greedy,stable,100,100.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
confidence_deadline,stable,100,100.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,stable,100,100.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
oracle_feasible,stable,100,100.0,1000,55.538430839525034,97.41926364455749,99.45192583722417,99.96467990585603,55.538430839525034,0.0,0.7975273110848559,0.7975273110848559,12200.0,12.2,12200.0,0.0,0.0,0.0,0.488,1.0,1.0,0.488,0.0,0.0,0.0,0.0,51.2,48.8,0.0,0.0,484,484.0
local_only,stable,101,100.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,stable,101,100.0,1000,105.23285853009577,132.8934416176251,134.49242049382806,134.99828909781831,105.23285853009577,0.477,0.8032529537777608,0.45747116307205377,25000.0,25.0,25000.0,0.477,0.0,0.0,1.0,0.99,0.523,0.523,0.467,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0
