metric,policy_a,policy_b,profile,n_seeds,mean_diff,ci_lo,ci_hi,std,excludes_zero,a_mean,b_mean
deadline_miss_rate,dapper,local_only,stable,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,local_only,stable,30,0.0,0.0,0.0,0.0,False,33.984265110354684,33.984265110354684
usable_confidence_proxy,dapper,local_only,stable,30,0.07103096056039747,0.06999452617075337,0.07201709523182788,0.0028594121559587025,True,0.7959976928158301,0.7249667322554326
bandwidth_per_1000_frames_kb,dapper,local_only,stable,30,21621.666666666668,21499.166666666668,21735.833333333332,335.8425671130112,True,21621.666666666668,0.0
mean_latency_ms,dapper,local_only,stable,30,0.0,0.0,0.0,0.0,False,25.02027748999063,25.02027748999063
deadline_miss_rate,dapper,edge_only,stable,30,-0.48766666666666664,-0.4938333333333333,-0.48173333333333335,0.017307230566588564,True,0.0,0.48766666666666664
p95_latency_ms,dapper,edge_only,stable,30,-98.8330662825847,-98.92888898641895,-98.7417628874601,0.2671212125744816,True,33.984265110354684,132.81733139293937
usable_confidence_proxy,dapper,edge_only,stable,30,0.3476889049294008,0.3433221634925761,0.3522141997334681,0.012679508150302514,True,0.7959976928158301,0.4483087878864294
bandwidth_per_1000_frames_kb,dapper,edge_only,stable,30,-3378.3333333333335,-3500.8333333333335,-3264.1666666666665,335.8425671130112,True,21621.666666666668,25000.0
mean_latency_ms,dapper,edge_only,stable,30,-80.59084163564295,-80.82773192529947,-80.35736760719514,0.6703273928601338,True,25.02027748999063,105.61111912563356
deadline_miss_rate,dapper,cloud_only,stable,30,-1.0,-1.0,-1.0,0.0,True,0.0,1.0
p95_latency_ms,dapper,cloud_only,stable,30,-100.0,-100.0,-100.0,1.319444736062194e-14,True,33.984265110354684,133.9842651103547
usable_confidence_proxy,dapper,cloud_only,stable,30,0.7959976928158301,0.7949080850073025,0.7970417324338718,0.0030581965746421004,True,0.7959976928158301,0.0
bandwidth_per_1000_frames_kb,dapper,cloud_only,stable,30,-13378.333333333334,-13500.833333333334,-13264.166666666666,335.8425671130112,True,21621.666666666668,35000.0
mean_latency_ms,dapper,cloud_only,stable,30,-100.0,-100.0,-100.0,7.463906562163774e-15,True,25.02027748999063,125.02027748999065
deadline_miss_rate,dapper,deadline_greedy,stable,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,deadline_greedy,stable,30,0.0,0.0,0.0,0.0,False,33.984265110354684,33.984265110354684
usable_confidence_proxy,dapper,deadline_greedy,stable,30,0.07103096056039747,0.06999452617075337,0.07201709523182788,0.0028594121559587025,True,0.7959976928158301,0.7249667322554326
