seed,profile,frames,fingerprint
100,stable,1000,72b84153
101,stable,1000,bb4fe908
102,stable,1000,1ca7180d
103,stable,1000,da0dfe94
104,stable,1000,b842bdc2
105,stable,1000,3cf1b3ed
106,stable,1000,53817ffe
107,stable,1000,bd5316b4
108,stable,1000,544eb496
109,stable,1000,add4ffa5
110,stable,1000,2efc1295
111,stable,1000,d5e8a733
112,stable,1000,94fa3f06
113,stable,1000,4a3e70b1
114,stable,1000,a124ad62
115,stable,1000,3554cd0c
116,stable,1000,afaad421
117,stable,1000,796f2b92
118,stable,1000,1dbcb71a
119,stable,1000,9c0ddd79
120,stable,1000,0dd09e2f
121,stable,1000,faa0c4e6
122,stable,1000,85ca08dd
123,stable,1000,25287b2e
124,stable,1000,a46373d4
125,stable,1000,2214af48
126,stable,1000,8e038cc5
127,stable,1000,4bcc625c
128,stable,1000,660c75d1
129,stable,1000,dcf1d031
100,congested,1000,69ade526
101,congested,1000,07708041
102,congested,1000,bbbb74e2
103,congested,1000,56291dba
104,congested,1000,0c074f42
105,congested,1000,1d236b4e
106,congested,1000,1a040bf7
107,congested,1000,105bf82b
108,congested,1000,f7560409
109,congested,1000,e39f3d0c
110,congested,1000,871c9f30
111,congested,1000,8c07aedf
112,congested,1000,bbcc47bc
113,congested,1000,24f81cbb
114,congested,1000,cd75bf47
115,congested,1000,49071d62
116,congested,1000,1939fd01
117,congested,1000,6e3a1141
118,congested,1000,6dfa9d92
119,congested,1000,14c06dae
120,congested,1000,4f157d17
121,congested,1000,7e0fed1e
122,congested,1000,5b40eb07
123,congested,1000,41789c64
124,congested,1000,f453d3ae
125,congested,1000,38456f5e
126,congested,1000,cb99621a
127,congested,1000,84d551c0
128,congested,1000,672815d0
129,congested,1000,e3c804d7
100,lossy,1000,63ca457c
101,lossy,1000,7f965415
102,lossy,1000,55c08f74
103,lossy,1000,474e17d1
104,lossy,1000,1b35d796
105,lossy,1000,908c5d14
106,lossy,1000,765ba83e
107,lossy,1000,095e78dc
108,lossy,1000,60dd41fc
109,lossy,1000,412effeb
110,lossy,1000,b4578fe6
111,lossy,1000,7b47e69a
112,lossy,1000,62da3149
113,lossy,1000,7ad1fe64
114,lossy,1000,ecbf94e7
115,lossy,1000,57c9b79f
116,lossy,1000,15b76e2a
117,lossy,1000,9833f519
118,lossy,1000,422f8d9e
119,lossy,1000,76d599e0
120,lossy,1000,a9b7c920
121,lossy,1000,be7360bd
122,lossy,1000,2815561a
123,lossy,1000,6f3cabf0
124,lossy,1000,b0e4490b
125,lossy,1000,64186b4b
126,lossy,1000,64bae7db
127,lossy,1000,638b0cd9
128,lossy,1000,162530fc
129,lossy,1000,0260218a
100,variable,1000,e76f8fbd
101,variable,1000,b6e8533e
102,variable,1000,7f3aa0fb
103,variable,1000,65416e1f
104,variable,1000,970599ac
105,variable,1000,17b3d4ba
106,variable,1000,c06c9969
107,variable,1000,6d7c0147
108,variable,1000,132e52f0
109,variable,1000,24230d70
110,variable,1000,b39f988c
111,variable,1000,54a0da21
112,variable,1000,1f11f6ad
113,variable,1000,d6db973c
114,variable,1000,86893f87
115,variable,1000,306c072f
116,variable,1000,bdb46678
117,variable,1000,8c4e83bc
118,variable,1000,804fbd5f
119,variable,1000,0db47137
120,variable,1000,9d93f930
121,variable,1000,aae08213
122,variable,1000,e1b89ef6
123,variable,1000,63e85708
124,variable,1000,e1fb48a9
125,variable,1000,38eb297f
126,variable,1000,b95d4134
127,variable,1000,741e8311
128,variable,1000,3ee9213f
129,variable,1000,1a4f9b25
100,outage,1000,e9cd21c5
101,outage,1000,7d9dc718
102,outage,1000,8ebdd49b
103,outage,1000,bfbdf800
104,outage,1000,d1d55f79
105,outage,1000,ea13936e
106,outage,1000,911e8d4a
107,outage,1000,58b00854
108,outage,1000,648c1893
109,outage,1000,10c66307
110,outage,1000,1eb82897
111,outage,1000,bf86c011
112,outage,1000,c64f0c87
113,outage,1000,5d2e85f6
114,outage,1000,33125fa2
115,outage,1000,66f0970c
116,outage,1000,18ec3f17
117,outage,1000,38ef58d1
118,outage,1000,4d363af0
119,outage,1000,cb608ba2
120,outage,1000,b4b87917
121,outage,1000,3b9f8692
122,outage,1000,a68603dc
123,outage,1000,a9edd671
124,outage,1000,f701de6b
125,outage,1000,34bd7ab3
126,outage,1000,7f408db0
127,outage,1000,1a3d4289
128,outage,1000,e4771f56
129,outage,1000,93a85dce
