policy,profile,mode_switches_per_1000_mean,mode_switches_per_1000_std,n_seeds
cloud_only,congested,0.0,0.0,30
cloud_only,lossy,0.0,0.0,30
cloud_only,outage,0.0,0.0,30
cloud_only,stable,0.0,0.0,30
cloud_only,variable,0.0,0.0,30
confidence_deadline,congested,0.0,0.0,30
confidence_deadline,lossy,0.0,0.0,30
confidence_deadline,outage,0.0,0.0,30
confidence_deadline,stable,0.0,0.0,30
confidence_deadline,variable,0.0,0.0,30
dapper,congested,12.133333333333333,4.032055463949846,30
dapper,lossy,363.26666666666665,20.08247363066703,30
dapper,outage,418.43333333333334,10.48375864860971,30
dapper,stable,233.3,23.550605819867112,30
dapper,variable,315.43333333333334,16.71605326569669,30
deadline_greedy,congested,0.0,0.0,30
deadline_greedy,lossy,0.0,0.0,30
deadline_greedy,outage,0.0,0.0,30
deadline_greedy,stable,0.0,0.0,30
deadline_greedy,variable,0.0,0.0,30
edge_only,congested,0.0,0.0,30
edge_only,lossy,0.0,0.0,30
edge_only,outage,0.0,0.0,30
edge_only,stable,0.0,0.0,30
edge_only,variable,0.0,0.0,30
local_only,congested,0.0,0.0,30
local_only,lossy,0.0,0.0,30
local_only,outage,0.0,0.0,30
local_only,stable,0.0,0.0,30
local_only,variable,0.0,0.0,30
oracle_feasible,congested,0.0,0.0,30
oracle_feasible,lossy,213.13333333333333,16.771760611903215,30
oracle_feasible,outage,0.0,0.0,30
oracle_feasible,stable,493.3,14.94391814937342,30
oracle_feasible,variable,69.86666666666666,12.888736952466871,30
rtt_threshold,congested,0.0,0.0,30
rtt_threshold,lossy,0.0,0.0,30
rtt_threshold,outage,0.0,0.0,30
rtt_threshold,stable,0.0,0.0,30
rtt_threshold,variable,1.1333333333333333,1.3578211078487255,30
