call_index,decide_us
0,3.6
40,2.4
80,2.1
120,2.0
160,1.6
200,1.6
240,1.7
280,1.8
320,1.4
360,1.8
400,1.8
440,1.8
480,1.7
520,1.9
560,1.7
600,2.2
640,1.8
680,2.2
720,1.8
760,1.5
800,1.4
840,1.4
880,1.9
920,1.9
960,1.5
1000,1.8
1040,1.7
1080,1.9
1120,1.8
1160,1.6
1200,1.5
1240,1.3
1280,1.5
1320,1.7
1360,1.4
1400,1.6
1440,1.5
1480,1.4
1520,1.4
1560,1.6
1600,1.4
1640,1.5
1680,1.2
1720,1.3
1760,1.3
1800,1.3
1840,1.2
1880,1.3
1920,1.2
1960,1.1
2000,1.2
2040,1.5
2080,1.2
2120,1.2
2160,1.2
2200,1.3
2240,1.5
2280,1.5
2320,1.4
2360,1.6
2400,1.5
2440,1.7
2480,1.4
2520,1.7
2560,1.4
2600,1.7
2640,1.5
2680,1.7
2720,1.4
2760,1.6
2800,1.9
2840,1.9
2880,1.4
2920,1.5
2960,1.6
3000,1.5
3040,1.5
3080,1.6
3120,1.8
3160,1.6
3200,1.4
3240,1.5
3280,1.8
3320,1.4
3360,1.6
3400,1.7
3440,1.7
3480,1.4
3520,1.2
3560,1.3
3600,1.6
3640,1.3
3680,1.2
3720,1.5
3760,1.7
3800,1.3
3840,1.5
3880,1.1
3920,1.4
3960,1.2
4000,1.3
4040,1.1
4080,1.2
4120,1.2
4160,1.2
4200,1.4
4240,1.5
4280,1.2
4320,1.4
4360,1.1
4400,1.4
4440,1.2
4480,1.2
4520,1.4
4560,1.4
4600,1.2
4640,1.2
4680,1.2
4720,1.5
4760,1.5
4800,1.2
4840,1.3
4880,1.4
4920,1.3
4960,1.1
5000,1.2
5040,1.5
5080,1.5
5120,1.9
5160,1.5
5200,1.5
5240,1.5
5280,1.9
5320,1.9
5360,1.6
5400,1.6
5440,1.9
5480,1.7
5520,1.8
5560,1.5
5600,1.5
5640,1.6
5680,1.8
5720,1.9
5760,1.3
5800,1.9
5840,1.4
5880,1.6
5920,1.3
5960,1.6
6000,1.4
6040,1.7
6080,1.6
6120,1.7
6160,1.2
6200,1.2
6240,1.6
6280,1.6
6320,1.2
6360,1.3
6400,1.3
6440,1.3
6480,1.2
6520,1.2
6560,1.4
6600,1.3
6640,1.5
6680,1.5
6720,1.2
6760,1.5
6800,1.4
6840,1.5
6880,1.2
6920,1.1
6960,1.2
7000,1.4
7040,1.2
7080,1.4
7120,1.4
7160,1.5
7200,1.5
7240,1.2
7280,1.2
7320,1.5
7360,1.5
7400,1.2
7440,1.2
7480,1.5
7520,1.2
7560,1.3
7600,1.3
7640,1.2
7680,1.7
7720,1.8
7760,1.5
7800,1.8
7840,1.5
7880,1.5
7920,1.4
7960,1.5
8000,10.0
8040,1.5
8080,1.7
8120,1.5
8160,1.5
8200,1.8
8240,1.8
8280,1.5
8320,1.8
8360,1.8
8400,1.5
8440,1.5
8480,1.8
8520,1.5
8560,1.6
8600,1.6
8640,1.7
8680,2.0
8720,1.6
8760,1.5
8800,1.5
8840,1.6
8880,1.9
8920,1.8
8960,1.4
9000,1.5
9040,1.8
9080,1.8
9120,1.5
9160,1.3
9200,1.4
9240,1.3
9280,1.3
9320,1.2
9360,1.4
9400,1.2
9440,1.8
9480,1.8
9520,1.7
9560,1.9
9600,1.2
9640,1.4
9680,1.5
9720,1.2
9760,1.2
9800,1.5
9840,1.6
9880,1.4
9920,1.4
9960,1.2
10000,1.2
10040,1.6
10080,1.5
10120,1.5
10160,1.6
10200,1.2
10240,1.2
10280,1.3
10320,1.6
10360,1.3
10400,1.6
10440,1.5
10480,1.8
10520,1.5
10560,1.5
10600,1.8
10640,1.4
10680,1.3
10720,1.5
10760,1.6
10800,1.5
10840,1.4
10880,1.7
10920,1.4
10960,1.7
11000,1.4
11040,1.6
11080,1.6
11120,1.4
11160,1.6
11200,1.4
11240,1.3
11280,1.2
11320,1.5
11360,1.5
11400,1.3
11440,1.4
11480,1.2
11520,1.3
11560,1.5
11600,1.2
11640,1.2
11680,1.1
11720,1.4
11760,1.5
11800,1.2
11840,1.4
11880,1.1
11920,1.2
11960,1.3
12000,1.5
12040,1.4
12080,1.2
12120,1.5
12160,1.6
12200,1.4
12240,1.2
12280,1.5
12320,1.3
12360,1.3
12400,1.3
12440,1.4
12480,1.2
12520,1.2
12560,1.3
12600,1.3
12640,1.3
12680,1.2
12720,1.2
12760,1.6
12800,1.2
12840,1.3
12880,1.5
12920,1.6
12960,1.2
13000,1.9
13040,1.3
13080,1.7
13120,1.3
13160,1.7
13200,1.5
13240,1.7
13280,1.7
