Profile,Policy,Miss %,p95 ms,Conf. proxy,BW MB/1k fr.,Remote acc. %
stable,local-only,0.00,34.0,0.725,0.00,0.0
stable,deadline-greedy,0.00,34.0,0.725,0.00,0.0
stable,conf.+deadline,0.00,34.0,0.725,0.00,0.0
stable,RTT-threshold,0.00,34.0,0.725,0.00,0.0
stable,\textbf{DAPPER},0.00,34.0,0.796,21.62,51.2
stable,oracle$^\dagger$,0.00,97.5,0.802,12.81,100.0
congested,local-only,0.00,33.9,0.725,0.00,0.0
congested,deadline-greedy,0.00,33.9,0.725,0.00,0.0
congested,conf.+deadline,0.00,33.9,0.725,0.00,0.0
congested,RTT-threshold,0.00,33.9,0.725,0.00,0.0
congested,\textbf{DAPPER},0.00,33.9,0.725,0.00,0.0
congested,oracle$^\dagger$,0.00,33.9,0.725,0.00,0.0
lossy,local-only,0.00,34.0,0.725,0.00,0.0
lossy,deadline-greedy,0.00,34.0,0.725,0.00,0.0
lossy,conf.+deadline,0.00,34.0,0.725,0.00,0.0
lossy,RTT-threshold,0.00,34.0,0.725,0.00,0.0
lossy,\textbf{DAPPER},0.00,34.0,0.741,18.13,13.7
lossy,oracle$^\dagger$,0.00,96.3,0.743,3.12,100.0
variable,local-only,0.00,34.0,0.725,0.00,0.0
variable,deadline-greedy,0.00,34.0,0.725,0.00,0.0
variable,conf.+deadline,0.00,34.0,0.725,0.00,0.0
variable,RTT-threshold,0.02,34.0,0.725,0.02,32.2
variable,\textbf{DAPPER},0.00,33.7,0.732,5.78,15.9
variable,oracle$^\dagger$,0.00,42.0,0.732,1.05,100.0
outage,local-only,0.00,34.0,0.725,0.00,0.0
outage,deadline-greedy,0.00,34.0,0.725,0.00,0.0
outage,conf.+deadline,0.00,34.0,0.725,0.00,0.0
outage,RTT-threshold,0.00,34.0,0.725,0.00,0.0
outage,\textbf{DAPPER},0.00,31.2,0.726,0.00,0.0
outage,oracle$^\dagger$,0.00,34.0,0.725,0.00,0.0
