Profile,Policy,p95 ms [95% CI],Miss % [95% CI],Conf. proxy,BW MB/1k fr.
stable,local-only,"34.0 [33.9, 34.0]","0.00 [0.00, 0.00]",0.725,0.00
stable,edge-only,"132.8 [132.7, 132.9]","48.77 [48.17, 49.38]",0.448,25.00
stable,cloud-only,"134.0 [133.9, 134.0]","100.00 [100.00, 100.00]",0.000,35.00
stable,\textbf{DAPPER},"34.0 [33.9, 34.0]","0.00 [0.00, 0.00]",0.796,21.62
congested,local-only,"33.9 [33.9, 34.0]","0.00 [0.00, 0.00]",0.725,0.00
congested,edge-only,"133.9 [133.9, 134.0]","100.00 [100.00, 100.00]",0.000,25.00
congested,cloud-only,"133.9 [133.9, 134.0]","100.00 [100.00, 100.00]",0.000,35.00
congested,\textbf{DAPPER},"33.9 [33.9, 34.0]","0.00 [0.00, 0.00]",0.725,0.00
lossy,local-only,"34.0 [34.0, 34.1]","0.00 [0.00, 0.00]",0.725,0.00
lossy,edge-only,"133.9 [133.8, 133.9]","87.51 [87.06, 87.94]",0.109,25.00
lossy,cloud-only,"134.0 [134.0, 134.1]","100.00 [100.00, 100.00]",0.000,35.00
lossy,\textbf{DAPPER},"34.0 [34.0, 34.1]","0.00 [0.00, 0.00]",0.741,18.13
variable,local-only,"34.0 [33.9, 34.0]","0.00 [0.00, 0.00]",0.725,0.00
variable,edge-only,"133.6 [133.5, 133.7]","74.00 [72.62, 75.43]",0.195,19.55
variable,cloud-only,"133.7 [133.6, 133.7]","78.20 [76.76, 79.62]",0.158,27.37
variable,\textbf{DAPPER},"33.7 [33.7, 33.8]","0.00 [0.00, 0.00]",0.732,5.78
outage,local-only,"34.0 [34.0, 34.1]","0.00 [0.00, 0.00]",0.725,0.00
outage,edge-only,"128.1 [127.7, 128.4]","14.68 [14.06, 15.33]",0.619,3.67
outage,cloud-only,"128.1 [127.7, 128.4]","14.68 [14.06, 15.33]",0.619,5.14
outage,\textbf{DAPPER},"31.2 [31.0, 31.4]","0.00 [0.00, 0.00]",0.726,0.00
