Profile,Policy,Recall (all fr.),Recall (fresh fr.),Safety recall,Miss %,Reuse %,BW MB/1k fr.
congested,\textbf{DAPPER},0.634,0.639,0.730,0.00,0.9,0.00
congested,edge-only,0.698,0.747,0.769,6.54,0.0,25.00
congested,local-only,0.639,0.639,0.737,0.00,0.0,0.00
congested,oracle$^\dagger$,0.729,0.729,0.810,0.00,0.0,19.89
lossy,\textbf{DAPPER},0.663,0.663,0.755,0.00,0.0,4.68
lossy,edge-only,0.600,0.747,0.661,19.74,0.0,25.00
lossy,local-only,0.639,0.639,0.737,0.00,0.0,0.00
lossy,oracle$^\dagger$,0.717,0.717,0.800,0.00,0.0,17.08
outage,\textbf{DAPPER},0.223,0.637,0.262,0.00,65.0,0.00
outage,edge-only,0.546,0.639,0.631,14.54,0.0,3.63
outage,local-only,0.639,0.639,0.737,0.00,0.0,0.00
outage,oracle$^\dagger$,0.639,0.639,0.737,0.00,0.0,0.00
stable,\textbf{DAPPER},0.674,0.674,0.762,0.00,0.0,5.59
stable,edge-only,0.740,0.747,0.815,0.96,0.0,25.00
stable,local-only,0.639,0.639,0.737,0.00,0.0,0.00
stable,oracle$^\dagger$,0.734,0.734,0.814,0.00,0.0,21.07
variable,\textbf{DAPPER},0.545,0.649,0.626,0.00,16.0,1.47
variable,edge-only,0.680,0.721,0.757,5.66,0.0,19.18
variable,local-only,0.639,0.639,0.737,0.00,0.0,0.00
variable,oracle$^\dagger$,0.707,0.707,0.792,0.00,0.0,15.14
