Study,Setting,Miss %,p95 ms,Conf. proxy,local/edge/hyb/degr %
deadline,D = 50 ms,0.00,32.6,0.725,48/0/0/52
deadline,D = 75 ms,0.00,33.2,0.726,57/0/11/32
deadline,D = 100 ms,0.00,33.4,0.744,45/0/36/19
deadline,D = 125 ms,5.24,56.4,0.707,42/11/28/19
deadline,D = 150 ms,13.31,108.6,0.649,42/32/7/19
deadline,D = 200 ms,4.21,152.6,0.714,26/55/0/19
deadline,D = 250 ms,0.00,156.3,0.744,16/66/0/18
estimate bias,-30% RTT and compute,15.29,80.2,0.642,30/31/34/6
estimate bias,-20% RTT and compute,8.73,66.2,0.688,42/19/34/6
estimate bias,-10% RTT and compute,0.01,33.9,0.751,51/0/43/6
estimate bias,+0% RTT and compute,0.00,33.9,0.751,58/0/37/6
estimate bias,+10% RTT and compute,0.00,33.9,0.750,60/0/32/8
estimate bias,+20% RTT and compute,0.00,33.8,0.749,55/0/30/15
estimate bias,+30% RTT and compute,0.00,33.6,0.747,50/0/26/25
