policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,delivered_recall,delivered_safety_recall,delivered_recall_fresh_only,delivered_safety_recall_fresh_only,remote_output_share,usable_output_rate,frames_scored,frames_scored_fresh,deadline_sweep_ms
local_only,stable,100,50.0,5000,35.19284060007194,45.6734949955717,52.31736099347473,73.33700003800914,35.19284060007194,0.0224,0.8192857515573502,0.8010538005888462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.6241299751101134,0.7174829557521653,0.6385726522200994,0.7348134619297538,0.0,0.9776,4952,4840,50.0
edge_only,stable,100,50.0,5000,34.61422494886125,37.82911934309367,83.29682003881318,110.70169998565689,34.61422494886125,0.0146,0.880200472509861,0.8681635586857795,125000.0,25.0,25000.0,0.0146,0.0,0.0,1.0,0.9886,0.9854,0.9854,0.0032,0.0,0.0114,0.0,0.0,100.0,0.0,0.0,0,0.0,0.7358754578330148,0.8119948591954876,0.7468856870647856,0.8230876851407812,0.9854,0.9854,4952,4879,50.0
cloud_only,stable,100,50.0,5000,85.19284060007195,95.6734949955717,102.31736099347474,123.33700003800914,85.19284060007195,1.0,0.8192857515573502,0.0,175000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.9886,0.0,0.0,0.9886,0.0,0.0114,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,0.0,,,0.0,0.0,4952,0,50.0
dapper,stable,100,50.0,5000,35.19284060007194,45.6734949955717,52.31736099347473,73.33700003800914,35.19284060007194,0.0224,0.8192857515573502,0.8010538005888462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.6241299751101134,0.7174829557521653,0.6385726522200994,0.7348134619297538,0.0,0.9776,4952,4840,50.0
deadline_greedy,stable,100,50.0,5000,35.19284060007194,45.6734949955717,52.31736099347473,73.33700003800914,35.19284060007194,0.0224,0.8192857515573502,0.8010538005888462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.6241299751101134,0.7174829557521653,0.6385726522200994,0.7348134619297538,0.0,0.9776,4952,4840,50.0
confidence_deadline,stable,100,50.0,5000,35.19284060007194,45.6734949955717,52.31736099347473,73.33700003800914,35.19284060007194,0.0224,0.8192857515573502,0.8010538005888462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.6241299751101134,0.7174829557521653,0.6385726522200994,0.7348134619297538,0.0,0.9776,4952,4840,50.0
oracle_feasible,stable,100,50.0,5000,34.06761070717858,38.058737972653326,44.05757996428293,60.70169998565689,34.06761070717858,0.0032,0.8876893173277378,0.8849453768432141,104925.0,20.985,20985.0,0.0,0.0,0.0,0.8394,1.0,1.0,0.8394,0.0,0.0,0.0,0.0,16.06,83.94,0.0,0.0,1340,268.0,0.731705067534892,0.8095653405515004,0.7340768829888138,0.8134021431133559,0.8394,0.9968,4952,4936,50.0
local_only,stable,101,50.0,5000,35.19284060007194,45.6734949955717,52.31736099347473,73.33700003800914,35.19284060007194,0.0224,0.8192857515573502,0.8010538005888462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.6241299751101134,0.7174829557521653,0.6385726522200994,0.7348134619297538,0.0,0.9776,4952,4840,50.0
edge_only,stable,101,50.0,5000,34.5996018101714,37.76077715070823,82.61806505150163,110.70169998565689,34.5996018101714,0.0128,0.8803006799697876,0.8700941316962242,125000.0,25.0,25000.0,0.0128,0.0,0.0,1.0,0.9906,0.9872,0.9872,0.0034,0.0,0.0094,0.0,0.0,100.0,0.0,0.0,0,0.0,0.7375524563665085,0.8121683267880928,0.747209444338574,0.8221403799137309,0.9872,0.9872,4952,4888,50.0
cloud_only,stable,101,50.0,5000,85.19284060007195,95.6734949955717,102.31736099347474,123.33700003800914,85.19284060007195,1.0,0.8192857515573502,0.0,175000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.9918,0.0,0.0,0.9918,0.0,0.0082,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,0.0,,,0.0,0.0,4952,0,50.0
dapper,stable,101,50.0,5000,35.19284060007194,45.6734949955717,52.31736099347473,73.33700003800914,35.19284060007194,0.0224,0.8192857515573502,0.8010538005888462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.6241299751101134,0.7174829557521653,0.6385726522200994,0.7348134619297538,0.0,0.9776,4952,4840,50.0
deadline_greedy,stable,101,50.0,5000,35.19284060007194,45.6734949955717,52.31736099347473,73.33700003800914,35.19284060007194,0.0224,0.8192857515573502,0.8010538005888462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.6241299751101134,0.7174829557521653,0.6385726522200994,0.7348134619297538,0.0,0.9776,4952,4840,50.0
confidence_deadline,stable,101,50.0,5000,35.19284060007194,45.6734949955717,52.31736099347473,73.33700003800914,35.19284060007194,0.0224,0.8192857515573502,0.8010538005888462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.6241299751101134,0.7174829557521653,0.6385726522200994,0.7348134619297538,0.0,0.9776,4952,4840,50.0
oracle_feasible,stable,101,50.0,5000,34.094118310031476,38.00808468572732,43.61009699001444,60.70169998565689,34.094118310031476,0.0028,0.8878162452995777,0.8853952589333057,105075.0,21.015,21015.0,0.0,0.0,0.0,0.8406,1.0,1.0,0.8406,0.0,0.0,0.0,0.0,15.939999999999998,84.06,0.0,0.0,1328,265.6,0.7322401654154507,0.8101008394192095,0.7343161804652312,0.8133894761150926,0.8406,0.9972,4952,4938,50.0
local_only,stable,102,50.0,5000,35.19284060007194,45.6734949955717,52.31736099347473,73.33700003800914,35.19284060007194,0.0224,0.8192857515573502,0.8010538005888462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.6241299751101134,0.7174829557521653,0.6385726522200994,0.7348134619297538,0.0,0.9776,4952,4840,50.0
edge_only,stable,102,50.0,5000,34.49815482503598,37.828969323644024,83.35925499442965,110.70169998565689,34.49815482503598,0.0136,0.8799624246120453,0.8690521054804325,125000.0,25.0,25000.0,0.0136,0.0,0.0,1.0,0.99,0.9864,0.9864,0.0036,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0,0.7368571459173772,0.8112482661097773,0.7471164182192571,0.8231743089961775,0.9864,0.9864,4952,4884,50.0
