policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,deadline_sweep_ms
local_only,stable,100,50.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,100,50.0,1000,75.27940332331771,83.96035223762114,84.73962355895296,84.98877510568715,75.27940332331771,1.0,0.7265268897628933,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.989,0.0,0.0,0.989,0.0,0.011,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
cloud_only,stable,100,50.0,1000,75.27940332331771,83.96035223762114,84.73962355895296,84.98877510568715,75.27940332331771,1.0,0.7265268897628933,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.993,0.0,0.0,0.993,0.0,0.007,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,100,50.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
deadline_greedy,stable,100,50.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
confidence_deadline,stable,100,50.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
rtt_threshold,stable,100,50.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
oracle_feasible,stable,100,50.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,25.279403323317702,0.0,0.7265268897628933,0.7265268897628933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,101,50.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,101,50.0,1000,74.82065708046972,83.96040511204254,84.78807237653267,84.99828909781833,74.82065708046972,1.0,0.7249338588619687,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.99,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
cloud_only,stable,101,50.0,1000,74.82065708046972,83.96040511204254,84.78807237653267,84.99828909781833,74.82065708046972,1.0,0.7249338588619687,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.997,0.0,0.0,0.997,0.0,0.003,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,101,50.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
deadline_greedy,stable,101,50.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
confidence_deadline,stable,101,50.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
rtt_threshold,stable,101,50.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
oracle_feasible,stable,101,50.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,102,50.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,102,50.0,1000,74.83588047307674,83.70682378335115,84.74818297607158,84.96524097297277,74.83588047307674,1.0,0.727324394359075,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.99,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
