deadline_sweep_ms,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
50.0,stable,local_only,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
50.0,stable,local_only,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
50.0,stable,local_only,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
50.0,stable,local_only,usable_confidence_proxy,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,local_only,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,local_only,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,fallback_rate,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,pct_local_fast,100.0,0.0,100.0,100.0,30
50.0,stable,local_only,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,stable,local_only,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,stable,edge_only,deadline_miss_rate,1.0,0.0,1.0,1.0,30
50.0,stable,edge_only,p95_latency_ms,83.9842651103547,0.14612908292769555,83.9343159514038,84.03601536849867,30
50.0,stable,edge_only,p99_latency_ms,84.78401367177919,0.06560311317343805,84.76065987728266,84.80682491176003,30
50.0,stable,edge_only,mean_latency_ms,75.02027748999063,0.19474756789946832,74.95289656903961,75.09459953131292,30
50.0,stable,edge_only,usable_confidence_proxy,0.0,0.0,0.0,0.0,30
50.0,stable,edge_only,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,edge_only,bandwidth_per_1000_frames_kb,25000.0,0.0,25000.0,25000.0,30
50.0,stable,edge_only,remote_attempt_rate,1.0,0.0,1.0,1.0,30
50.0,stable,edge_only,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,stable,edge_only,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,stable,edge_only,remote_rejected_deadline_rate,0.9889333333333332,0.00277840605921544,0.9879333333333332,0.9898666666666666,30
50.0,stable,edge_only,remote_failed_loss_rate,0.011066666666666669,0.0027784060592154374,0.010133333333333334,0.012066666666666668,30
50.0,stable,edge_only,fallback_rate,1.0,0.0,1.0,1.0,30
50.0,stable,edge_only,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,stable,edge_only,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,stable,edge_only,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,stable,edge_only,pct_local_fast,0.0,0.0,0.0,0.0,30
50.0,stable,edge_only,pct_edge_accurate,100.0,0.0,100.0,100.0,30
50.0,stable,edge_only,pct_hybrid,0.0,0.0,0.0,0.0,30
