policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,bias_target,rtt_estimate_bias,compute_estimate_bias,bias
dapper,stable,100,100.0,1000,25.279403323317702,33.96035223762113,34.73962355895296,34.988775105687154,51.53514833678389,0.0,0.7265268897628933,0.792417917211626,21350.0,21.35,21350.0,0.0,0.0,0.0,0.854,0.9918032786885246,0.4953161592505855,0.423,0.4964871194379391,0.0,0.00819672131147541,0.0,14.6,0.0,85.39999999999999,0.0,259,259.0,rtt,-0.3,0.0,-0.3
dapper,stable,101,100.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,53.53675771177409,0.0,0.7249338588619687,0.7978649635318986,21700.0,21.7,21700.0,0.0,0.0,0.0,0.868,0.9896313364055299,0.5288018433179723,0.459,0.4608294930875576,0.0,0.010368663594470046,0.0,13.200000000000001,0.0,86.8,0.0,231,231.0,rtt,-0.3,0.0,-0.3
dapper,stable,102,100.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,51.8627260021259,0.0,0.727324394359075,0.800034845226407,20900.0,20.9,20900.0,0.0,0.0,0.0,0.836,0.992822966507177,0.5263157894736842,0.44,0.4665071770334928,0.0,0.007177033492822967,0.0,16.400000000000002,0.0,83.6,0.0,284,284.0,rtt,-0.3,0.0,-0.3
dapper,stable,103,100.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,53.372703891643845,0.0,0.7236659440861409,0.7991290672988378,21525.0,21.525,21525.0,0.0,0.0,0.0,0.861,0.9883855981416957,0.5342624854819977,0.46,0.454123112659698,0.0,0.011614401858304297,0.0,13.900000000000002,0.0,86.1,0.0,237,237.0,rtt,-0.3,0.0,-0.3
dapper,stable,104,100.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,51.037343944723006,0.0,0.7240926018777877,0.7898578469524961,21900.0,21.9,21900.0,0.0,0.0,0.0,0.876,0.9920091324200914,0.4794520547945205,0.42,0.5125570776255708,0.0,0.007990867579908675,0.0,12.4,0.0,87.6,0.0,220,220.0,rtt,-0.3,0.0,-0.3
dapper,stable,105,100.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,51.59710330911793,0.0,0.7262361051095783,0.7959250227091806,21250.0,21.25,21250.0,0.0,0.0,0.0,0.85,0.9905882352941177,0.5105882352941177,0.434,0.48,0.0,0.009411764705882352,0.0,15.0,0.0,85.0,0.0,256,256.0,rtt,-0.3,0.0,-0.3
dapper,stable,106,100.0,1000,24.716410963251104,33.86074949026578,34.68730165917939,34.933586993197196,52.69637342008328,0.0,0.7229428904328138,0.7962430814491968,21425.0,21.425,21425.0,0.0,0.0,0.0,0.857,0.9918319719953326,0.5227537922987164,0.448,0.4690781796966161,0.0,0.008168028004667444,0.0,14.299999999999999,0.0,85.7,0.0,252,252.0,rtt,-0.3,0.0,-0.3
dapper,stable,107,100.0,1000,24.88557902804772,33.83424628214373,34.89267109559948,34.9936438529993,53.380353744565205,0.0,0.7245133185042392,0.7993133636844371,22025.0,22.025,22025.0,0.0,0.0,0.0,0.881,0.9886492622020431,0.5187287173666288,0.457,0.4699205448354143,0.0,0.011350737797956867,0.0,11.899999999999999,0.0,88.1,0.0,198,198.0,rtt,-0.3,0.0,-0.3
dapper,stable,108,100.0,1000,25.235897183714567,34.2868707566229,34.87218349603604,34.989690121554816,51.92467360201944,0.0,0.7254394152220247,0.7967132376294662,21500.0,21.5,21500.0,0.0,0.0,0.0,0.86,0.9872093023255814,0.5023255813953489,0.432,0.4848837209302326,0.0,0.012790697674418604,0.0,14.000000000000002,0.0,86.0,0.0,231,231.0,rtt,-0.3,0.0,-0.3
dapper,stable,109,100.0,1000,25.268964708760926,34.15910526808331,34.79620852522923,34.94284900848466,51.53790445445115,0.0,0.7225069831603355,0.7908717000411818,21775.0,21.775,21775.0,0.0,0.0,0.0,0.871,0.9850746268656716,0.4845005740528129,0.422,0.5005740528128588,0.0,0.014925373134328358,0.0,12.9,0.0,87.1,0.0,228,228.0,rtt,-0.3,0.0,-0.3
