swept_parameter,swept_value,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
risk_local_threshold,0.25,stable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,stable,dapper,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
risk_local_threshold,0.25,stable,dapper,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
risk_local_threshold,0.25,stable,dapper,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
risk_local_threshold,0.25,stable,dapper,usable_confidence_proxy,0.7249743693517274,0.0015321871985410401,0.7244570337382,0.7255138409101242,30
risk_local_threshold,0.25,stable,dapper,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
risk_local_threshold,0.25,stable,dapper,bandwidth_per_1000_frames_kb,0.8333333333333334,4.564354645876385,0.0,2.5,30
risk_local_threshold,0.25,stable,dapper,remote_attempt_rate,3.3333333333333335e-05,0.00018257418583505534,0.0,0.0001,30
risk_local_threshold,0.25,stable,dapper,remote_accept_rate,0.03333333333333333,0.18257418583505533,0.0,0.1,30
risk_local_threshold,0.25,stable,dapper,remote_accepted_per_frame,3.3333333333333335e-05,0.00018257418583505534,0.0,0.0001,30
risk_local_threshold,0.25,stable,dapper,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,stable,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,stable,dapper,fallback_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,stable,dapper,reuse_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,stable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,stable,dapper,mode_switches_per_1000,0.06666666666666667,0.36514837167011066,0.0,0.2,30
risk_local_threshold,0.25,stable,dapper,pct_local_fast,99.99666666666667,0.018257418583504496,99.99,100.0,30
risk_local_threshold,0.25,stable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,stable,dapper,pct_hybrid,0.0033333333333333335,0.01825741858350554,0.0,0.010000000000000002,30
risk_local_threshold,0.25,stable,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,congested,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,congested,dapper,p95_latency_ms,33.93663339562628,0.10384597263558462,33.89863800925726,33.97238476351824,30
risk_local_threshold,0.25,congested,dapper,p99_latency_ms,34.76774120719711,0.0574407179719229,34.74658413465894,34.7871629365586,30
risk_local_threshold,0.25,congested,dapper,mean_latency_ms,24.831886454720813,0.19570763546815947,24.76464899629824,24.902166867111045,30
risk_local_threshold,0.25,congested,dapper,usable_confidence_proxy,0.724962592880273,0.001562881778886257,0.7244059800112123,0.7255382569621288,30
risk_local_threshold,0.25,congested,dapper,mean_output_confidence,0.724962592880273,0.001562881778886257,0.7244059800112123,0.7255382569621288,30
risk_local_threshold,0.25,congested,dapper,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,congested,dapper,remote_attempt_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,congested,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,congested,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,congested,dapper,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
